account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300111,Z3-51(1),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0.01,0,0.14,0.76,0.65,0.64,1.36,0.51,0.75,0.63,0.53,0.49,0.54,1.28,0.55,0.54,0.7,0.58,1.22,0.54,0.51,0.44,0.67,0.97,0.72,0.69,0.55,0.87,0.62
4300112,Z3-51(2),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Jan-26,2026,1.15,0.95,0.95,1.51,1.14,1.03,1.26,1.22,1.04,1.04,1.23,1.13,1.13,1.13,1.16,1.05,1.02,1.05,1.27,1.25,1.06,1.02,1.12,1.01,1.37,1.29,1.72,1.49,1.33,1.08,1.09
4300121,Z3-51(3),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.49,0.73,0.56,0.61,0.76,0.77,0.56,0.64,0.51,0.61,0.65,0.77,0.64,0.67,0.53,0.56,0.52,0.76,0.5,0.87,0.69,0.63,0.5,0.48,0.55,0.61,0.52,0.55,0.53,0.48,0.46
4300127,Z3-51(4),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.16,0.36,0.67,0.44,0.62,0.53,0.45,0.56,0.71,0.25,0.28,0.23,0.26,0.19,0.36,0.79,0.58,0.44,0.55,0.5,0.64,0.46,0.16,0.37,0.13,0.13,0.24,0.46,0.21,0.21,0.14
4300134,Z3-51(6),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.01,0,0,0.01,0,0,0.2,0.01,0,0,0.33,0.01,0.52,1.69,0.35,0.02,0,0,0,0,0.23,0,0,0,0.17,0.01,0,0.75,0.1,0.05,0.01
4300177,D-74 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,3.03,2.56,1.56,1.1,1.11,1.06,1.54,0.91,1.73,1.56,4.18,2.86,1.57,1.78,2.49,2.05,1.94,1.65,1.69,1.66,2.23,1.71,1.9,1.86,1.92,1.38,1.24,1.6,1.48,1.32,1.41
4300139,D 74-Building Common,L4,Zone_03_(A),D-74 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.01,0.03,0.03,0.07,0.05,0.02,0.02,0.02,0.07,0.06,0.03,0.05,0.04,0,0,0,0.01,0.02,0.02,0.02,0.01,0.02,0.04,0.01,0.03,0.01,0.03,0.02,0.02,0,0
4300106,Z3-74(1),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.07,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.36,0.29,0.34,0.05,0.05,0.05,0.05,0.04,0.01,0.02,0.02,0.01,0.01,0.14,0.38,0.33,0.25,0.04,0.02,0.03,0.03,0.02,0.03
4300118,Z3-74(2),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300022,Z3-74(3),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.34,0.46,0.59,0.62,0.69,0.73,0.56,0.41,0.8,0.76,0.74,0.9,1.09,0.9,1.05,1.02,1.04,1.03,1.1,1.05,1.37,0.8,0.91,0.97,1.07,0.82,0.63,0.73,0.72,0.8,0.82
4300125,Z3-74(4),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0.02,0.01,0.2,0.78,0.49,0.36,0.15,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13
