account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300111,Z3-51(1),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.46,0.65,0.53,0.55,1.14,0.57,0.53,0.57,0.62,0.61,1.19,0.38,0.5,0.44,1.04,0.36,0.61,0.37,0.39,0.5,0.89,0.59,0.64,0.63,0.67,0.66,0.87,0.57,0,0,0
4300112,Z3-51(2),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Feb-26,2026,1.21,1.22,1.38,1.18,1.38,1.16,1.1,1.21,1.64,1.2,1.35,1.36,1.23,1.01,1.36,1.4,1.22,1.29,1.63,1.22,1.53,1.34,1.39,1.48,1.35,1.33,1.17,1.22,0,0,0
4300121,Z3-51(3),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.45,0.41,0.58,0.48,0.57,0.43,0.4,0.43,0.39,0.51,0.46,0.37,0.38,0.35,0.34,0.34,0.56,0.39,0.38,0.38,0.37,0.36,0.36,0.62,0.37,0.39,0.38,0.35,0,0,0
4300127,Z3-51(4),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.38,0.17,0.6,0.21,0.25,0.32,0.35,0.4,0.25,0.41,0.34,0.47,0.33,0.4,0.28,0.31,0.29,0.46,0.15,0.69,0.81,0.55,0.61,0.53,0.6,0.41,0.96,0.48,0,0,0
4300134,Z3-51(6),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.12,0.02,0,0.28,0.01,0.01,0,0,0.36,1.17,0.79,0.03,0.01,0,0.48,1.4,0.02,0,0,0,0,0.23,0,0,0.48,0,0,0,0,0,0
4300177,D-74 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,1.49,1.48,1.69,1.43,1.7,1.6,1.67,1.95,2.29,2.06,1.78,1.72,1.88,2.08,1.91,1.89,2.11,1.72,2.17,2.29,2.33,2.69,2.89,2.81,4.04,2.24,3,3.04,0,0,0
4300139,D 74-Building Common,L4,Zone_03_(A),D-74 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.03,0.02,0.03,0.02,0.04,0.01,0.01,0.02,0.01,0.02,0.03,0.05,0,0.01,0.03,0.01,0.02,0.03,0.02,0,0.04,0.04,0.02,0.03,0.04,0.05,0.02,0.01,0,0,0
4300106,Z3-74(1),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.02,0.02,0.03,0.02,0.03,0.02,0.12,0.21,0.22,0.27,0.24,0.3,0.31,0.36,0.36,0.42,0.4,0.46,0.48,0.67,0.75,0.68,0.78,0.92,1.76,0.07,0.52,0.34,0,0,0
4300118,Z3-74(2),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
4300022,Z3-74(3),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.97,0.91,1.11,0.85,1.14,1.04,1.05,0.93,1.07,1.02,0.98,0.87,1.07,1.23,1.03,0.94,1.2,0.72,1.19,1.14,1.06,1.17,1.23,1.12,1.4,1.11,1.24,1.21,0,0,0
4300125,Z3-74(4),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.09,0.07,0,0,0
4300045,Z3-74(5),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.31,0.29,0.33,0.31,0.3,0.32,0.3,0.6,0.76,0.56,0.34,0.3,0.31,0.3,0.32,0.33,0.31,0.34,0.33,0.3,0.31,0.57,0.65,0.59,0.67,0.67,0.65,0.64,0,0,0
4300046,Z3-74(6),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.11,0.14,0.12,0.14,0.11,0.14,0.11,0.14,0.11,0.13,0.11,0.14,0.12,0.13,0.11,0.14,0.11,0.13,0.11,0.14,0.1,0.16,0.09,0.09,0.08,0.07,0.07,0.07,0,0,0
4300176,D-75 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Feb-26,2026,2.05,2.07,1.92,2.86,2.5,2.66,2.24,2.05,2.09,2.28,1.94,1.5,2.27,2.23,1.94,2.54,1.87,2.53,1.38,2.01,2,1.95,1.74,1.65,1.84,3.17,1.82,1.55,0,0,0
4300145,D 75-Building Common,L4,Zone_03_(A),D-75 Building Bulk Meter,D_Building_Common,Feb-26,2026,0.07,0.58,0.1,0.15,0.12,0.09,0.09,0.1,0.14,0.08,0.08,0.07,0.04,0.05,0.04,0.09,0.31,0.09,0.1,0.05,0.02,0.05,0.07,0.05,0.03,0.02,0.07,0.05,0,0,0
4300036,Z3-75(1),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300122,Z3-75(2),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.4,0.28,0.2,0.35,0.53,0.5,0.21,0.67,0.24,0.41,0.27,0.21,0.38,0.3,0.34,0.16,0.36,0.22,0.14,0.31,0.62,0.41,0.39,0.45,0.31,0.34,0.21,0.32,0,0,0
4300037,Z3-75(3),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Feb-26,2026,0.31,0.2,0.24,0.23,0.28,0.4,0.23,0.33,0.27,0.41,0.22,0.31,0.34,0.54,0.22,0.28,0.36,0.37,0.26,0.4,0.43,0.54,0.36,0.32,0.27,0.76,0.23,0.27,0,0,0
4300006,Z3-75(4),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Feb-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
