account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300127,Z3-51(4),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.51,0.62,0.61,0.83,0.47,0.81,0.69,0.62,0.52,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300134,Z3-51(6),L4,Zone_03_(A),D-51 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.35,0.05,0.92,1.16,0.52,0.01,0,0.31,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300177,D-74 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,3.16,3.27,3.24,3.87,2.7,2.13,2.14,2.11,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300139,D 74-Building Common,L4,Zone_03_(A),D-74 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.04,0.01,0.05,0.05,0.09,0.03,0.01,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300106,Z3-74(1),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.31,0.4,0.18,0.33,0.31,0.2,0.22,0.22,0.17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300118,Z3-74(2),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300022,Z3-74(3),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Mar-26,2026,1.26,1.16,1.14,1.21,1.13,1.16,1.17,1.15,1.33,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300125,Z3-74(4),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.08,0.08,0.08,0.08,0.07,0.06,0.07,0.08,0.07,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300045,Z3-74(5),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.63,0.62,0.61,0.59,0.54,0.6,0.57,0.57,0.49,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300046,Z3-74(6),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.07,0.07,0.07,0.28,0.28,0.15,0.15,0.13,0.12,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300176,D-75 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Mar-26,2026,1.73,1.72,2.02,2.61,3.21,3.86,3.26,3.37,2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300145,D 75-Building Common,L4,Zone_03_(A),D-75 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.03,0.05,0.04,0.05,0.07,0.03,0.06,0.07,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300036,Z3-75(1),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300122,Z3-75(2),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.19,0.14,0.31,0.27,0.32,0.48,0.54,0.54,0.51,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300037,Z3-75(3),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.32,0.44,0.34,0.34,0.44,0.22,0.39,0.37,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300006,Z3-75(4),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300055,Z3-75(5),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.31,0.32,0.33,0.37,0.29,1.16,0.2,0.28,0.34,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300063,Z3-75(6),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.86,0.76,0.99,1.58,2.08,1.96,2.06,2.1,1.46,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300186,D-52 Building Bulk Meter,L3,Zone_03_(B),ZONE 3B BULK (#4300344),D_Building_Bulk,Mar-26,2026,0.56,0.48,1.15,0.84,1.5,1.16,1.18,0.89,0.99,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
